,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
48,Madagascar,31727042,0.4%,1 Jul 2025,National annual projection[60],
49,Ivory Coast,31719275,0.4%,31 Dec 2024,National annual projection[61],
50,Nepal,29911840,0.4%,2025,National annual projection[62],
51,Cameroon,29442327,0.4%,1 Jul 2025,National annual projection[63],
52,Ukraine,28700000,0.3%,1 Sep 2025,State migration service[64],[n]
53,Venezuela,28517000,0.3%,1 Jul 2025,UN projection[65],
54,Australia,27614400,0.3%,30 Jun 2025,Official projection[66],[o]
55,Niger,27522750,0.3%,1 Jul 2025,National annual projection[67],
56,North Korea,25950000,0.3%,1 Jul 2024,National annual projection[68],
57,Syria,25620427,0.3%,1 Jul 2025,Monthly estimate[69],
58,Burkina Faso,24070553,0.3%,1 Jul 2025,Official projection[70],
59,Taiwan,23289045,0.3%,31 Jan 2026,Official estimate[71],[p]
60,Mali,22395489,0.3%,15 Jun 2022,2022 census result[72],
61,Sri Lanka,21781800,0.3%,19 Dec 2024,2024 census result[73],
62,Malawi,20734262,0.3%,1 Jul 2025,National annual projection[74],
63,Kazakhstan,20495975,0.2%,1 Jan 2026,Official estimate[75],
64,Chile,20206953,0.2%,30 Jun 2025,National annual projection[76],
65,Zambia,19693423,0.2%,8 Sep 2022,2022 census result[77],
66,Somalia,19655000,0.2%,1 Jul 2025,UN projection[78],[q]
67,Chad,19340757,0.2%,1 Jul 2025,National annual projection[79],
68,Romania,19036031,0.2%,1 Jan 2025,Official estimate[80],
69,Senegal,18593258,0.2%,1 Jul 2024,National annual projection[81],
70,Netherlands,18131238,0.2%,1 Jan 2026,Official estimate[82],[r]
71,Ecuador,18103660,0.2%,1 Jul 2025,National annual projection[83],
72,Guatemala,18079810,0.2%,1 Jul 2025,National annual projection[84],
73,Cambodia,17577760,0.2%,1 Jul 2025,Official projection[85],
74,Zimbabwe,17073087,0.2%,1 Jul 2025,Official projection[86],
75,South Sudan,15786898,0.2%,1 Jul 2025,National annual projection[87],
76,Guinea,14363931,0.2%,1 Jul 2025,National annual projection[88],
77,Rwanda,14104969,0.2%,1 Jul 2025,National annual projection[89],
78,Benin,13224860,0.2%,1 Jul 2025,National annual projection[90],
79,Burundi,12332788,0.1%,16 Aug 2024,Preliminary census result[91],
80,Tunisia,11972169,0.1%,6 Nov 2024,2024 census result[92],
81,Belgium,11924322,0.1%,1 Nov 2025,Official estimate[93],
82,Haiti,11867032,0.1%,1 Jul 2024,National annual projection[94],
83,Jordan,11734000,0.1%,31 Dec 2024,National estimate[95],
84,Bolivia,11365333,0.1%,23 Mar 2024,2024 census result[96],
85,United Arab Emirates,11294243,0.1%,31 Dec 2024,Official estimate[97],
86,Czech Republic,10897178,0.1%,30 Sep 2025,Official estimate[98],
87,Dominican Republic,10771504,0.1%,10 Nov 2022,2022 census result[99],
88,Portugal,10749635,0.1%,31 Dec 2024,Official estimate[100],
89,Sweden,10608003,0.1%,30 Nov 2025,Monthly national estimate[101],
90,Tajikistan,10499000,0.1%,1 Jan 2025,Official estimate[102],
91,Greece,10372335,0.1%,1 Jan 2025,Official estimate[103],
92,Azerbaijan,10259701,0.1%,1 Dec 2025,Monthly national estimate[104],
93,Papua New Guinea,10185363,0.1%,16 Jun 2024,2024 census result[105],
94,Israel,10176900,0.1%,31 Dec 2025,Monthly national estimate[106],[s]
95,Honduras,9892632,0.1%,1 Jul 2024,National annual projection[107],
96,Cuba,9748007,0.1%,31 Dec 2024,Official estimate[108],
97,Hungary,9489000,0.1%,1 Jan 2026,Official estimate[109],
98,Austria,9219113,0.1%,1 Jan 2026,National quarterly estimate[110],
99,Belarus,9109280,0.1%,1 Jan 2025,Official estimate[111],
100,Switzerland,9104063,0.1%,30 Sep 2025,National quarterly estimate[112],
101,Sierra Leone,9077691,0.1%,1 Jul 2025,National annual projection[113],
102,Togo,8095498,0.10%,8 Nov 2022,2022 census result[114],
103,Laos,7647000,0.09%,1 Jul 2024,National annual projection[115],
104,Hong Kong (China),7527500,0.09%,30 Jun 2025,National estimate[116],
105,Libya,7459000,0.09%,1 Jul 2025,UN projection[117],
106,Kyrgyzstan,7281800,0.09%,1 Jan 2025,Monthly national estimate[118],
107,Turkmenistan,7057841,0.09%,17 Dec 2022,2022 census result[119],
108,Nicaragua,6874748,0.08%,30 Jun 2024,Official estimate[120],
109,Serbia,6567783,0.08%,1 Jan 2025,Official estimate[121],[t]
110,Central African Republic,6470307,0.08%,1 Jul 2024,National annual projection[122],
111,Bulgaria,6437360,0.08%,31 Dec 2024,Official estimate[123],
112,Republic of the Congo,6142180,0.07%,17 May 2023,2023 census result[124],
113,Singapore,6110200,0.07%,30 Jun 2025,National annual projection[125],
114,Paraguay,6109644,0.07%,9 Nov 2022,2022 census result[126],
115,El Salvador,6029976,0.07%,2 May 2024,2024 census result[127],
116,Denmark,6025603,0.07%,1 Jan 2026,Monthly national estimate[128],[u]
117,Finland,5656900,0.07%,1 Jan 2026,Monthly national estimate[129],[v]
118,Norway,5618354,0.07%,30 Sep 2025,National quarterly estimate[130],[w]
119,Lebanon,5490000,0.07%,1 Jul 2021,Official estimate[131],
120,Palestine,5483450,0.07%,1 Jan 2023,National annual projection[132],[x]
121,Ireland,5458600,0.07%,1 Apr 2025,National estimate[133],
122,Slovakia,5413191,0.07%,30 Sep 2025,National quarterly estimate[134],
123,Oman,5359557,0.07%,31 Dec 2025,Monthly national estimate[135],
124,New Zealand,5334200,0.06%,30 Sep 2025,National quarterly estimate[136],[y]
125,Liberia,5248621,0.06%,10 Nov 2022,2022 census result[137],
126,Costa Rica,5191824,0.06%,30 Jun 2025,National annual projection[138],
127,Mauritania,4927532,0.06%,25 Dec 2023,2023 census result[139],
128,Kuwait,4881254,0.06%,1 Jan 2025,Official estimate[140],
129,Panama,4064780,0.05%,8 Jan 2023,2023 census result[141],
130,Croatia,3866233,0.05%,1 Jul 2024,Official estimate[142],
131,Georgia,3704500,0.05%,1 Jan 2025,Official estimate[143],[z]
132,Eritrea,3607000,0.04%,1 Jul 2025,UN projection[144] (see note),[aa]
133,Mongolia,3544835,0.04%,31 Dec 2024,National annual projection[151],
134,Uruguay,3485931,0.04%,30 Jun 2025,National annual projection[152],
135,Bosnia and Herzegovina,3412000,0.04%,1 Jul 2024,Official estimate[153],
136,Qatar,3214609,0.04%,31 Dec 2025,Monthly national estimate[154],
137,Puerto Rico (US),3184195,0.04%,1 Jul 2025,Annual projection[155],
138,Armenia,3076200,0.04%,1 Jan 2025,Official estimate[156],
139,Namibia,3022401,0.04%,24 Sep 2023,2023 Census[157],
140,Lithuania,2897009,0.04%,1 Jan 2026,Monthly national estimate[158],
141,Jamaica,2774538,0.03%,12 Sep 2022,2022 census result[159],
142,Gabon,2469296,0.03%,1 Jul 2025,National annual projection[160],
143,Gambia,2422712,0.03%,1 May 2024,Preliminary census results[161],
144,Moldova,2381300,0.03%,1 Jan 2025,Official estimate[162],[ab]
145,Albania,2363314,0.03%,1 Jan 2025,Official estimate[163],
146,Botswana,2359609,0.03%,18 Mar 2022,2022 census result[164],
147,Slovenia,2133852,0.03%,1 Oct 2025,National quarterly estimate[165],
148,Lesotho,2116427,0.03%,2024,Official survey[166],
149,Guinea-Bissau,1852784,0.02%,1 Jul 2025,National annual projection[167],
150,Latvia,1823500,0.02%,1 Jan 2026,Monthly national estimate[168],
151,North Macedonia,1822612,0.02%,31 Dec 2024,Official estimate[169],
152,Equatorial Guinea,1668768,0.02%,1 Jul 2024,Official estimate[170],
153,Bahrain,1594654,0.02%,31 Dec 2024,Official estimate[171],
154,Kosovo,1585566,0.02%,4 Apr 2024,2024 national census[172],
155,Timor-Leste,1391221,0.02%,1 Jul 2025,National annual projection[173],
156,Trinidad and Tobago,1367764,0.02%,30 Jun 2025,Official estimate[174],
157,Estonia,1362954,0.02%,1 Jan 2026,Official estimate[175],
158,Mauritius,1243741,0.02%,1 Jul 2025,National estimate[176],
159,Eswatini,1235549,0.02%,1 Jul 2024,Official projection[177],
160,Djibouti,1066809,0.01%,20 May 2024,2024 census result[178],
161,Cyprus,983000,0.01%,31 Dec 2024,Official estimate[179],[ac]
162,Guyana,956044,0.01%,31 Dec 2024,Official estimate[180],
163,Comoros,919901,0.01%,2025,Official estimate[181],
164,Fiji,900869,0.01%,1 Jan 2025,National annual projection[182],
165,Bhutan,784043,0.010%,2025,National annual projection[183],
166,Solomon Islands,750325,0.009%,1 Jul 2024,National annual projection[184],
167,Macau (China),686600,0.008%,30 Sep 2025,National quarterly estimate[185],
168,Luxembourg,681973,0.008%,1 Jan 2025,Official estimate[186],
169,Montenegro,623327,0.008%,1 Jan 2025,Official estimate[187],
170,Suriname,616500,0.007%,1 Jul 2021,Official estimate[188],
171,Western Sahara (disputed),600904,0.007%,1 Jul 2025,UN projection[189],
172,Malta,574250,0.007%,31 Dec 2024,Official estimate[190],
173,Maldives,515132,0.006%,13 Sep 2022,2022 census result[191],
174,Cape Verde,491233,0.006%,16 Jun 2021,2021 census result[192],
175,Northern Cyprus,476214,0.006%,31 Dec 2023,Official projection[193],[ad]
176,Brunei,455500,0.006%,1 Jul 2024,Official estimate[194],
177,Belize,417634,0.005%,1 Jul 2025,Official estimate[195],
178,Bahamas,398165,0.005%,4 Apr 2022,2022 census result[196],
179,Iceland,394530,0.005%,1 Jan 2026,National quarterly estimate[197],
180,Transnistria,367776,0.004%,31 Mar 2024,Official estimate[198],[ae]
181,Vanuatu,321409,0.004%,1 Jul 2024,National annual projection[199],
182,French Polynesia (France),279500,0.003%,31 Dec 2024,National annual projection[200],
183,Barbados,267800,0.003%,31 Dec 2022,Official estimate[201],
184,New Caledonia (France),264596,0.003%,1 Jan 2025,National annual projection[202],
185,Abkhazia,244236,0.003%,1 Jan 2022,Official estimate[203],[af]
186,São Tomé and Príncipe,209607,0.003%,2024,Preliminary census result[204],
187,Samoa,205557,0.002%,6 Nov 2021,2021 Census[205],
188,Saint Lucia,184100,0.002%,1 Jul 2023,Official estimate[206],
189,Curaçao (Netherlands),156115,0.002%,1 Jan 2025,Official estimate[207],
190,Guam (US),153836,0.002%,1 Apr 2020,2020 census result[208],
191,Seychelles,122729,0.001%,30 Jun 2025,Official estimate[209],
192,Kiribati,120740,0.001%,1 Jul 2021,National annual projection[199],
193,Saint Vincent and the Grenadines,110872,0.001%,1 Jul 2022,Official estimate[210],
194,Aruba (Netherlands),109435,0.001%,30 Jun 2025,Official estimate[211],
195,Grenada,109021,0.001%,2021,Preliminary Census results[212],
196,Micronesia,105564,0.001%,2025,National annual projection[213],
197,Antigua and Barbuda,103603,0.001%,1 Jan 2024,Official estimate[214],
198,Jersey (UK),103267,0.001%,21 Mar 2021,2021 census result[215],
199,Tonga,100179,0.001%,30 Nov 2021,2021 census result[216],
200,Andorra,89058,0.001%,1 Jan 2026,Monthly national estimate[217],
201,Cayman Islands (UK),88833,0.001%,31 Dec 2024,National annual projection[218],
202,U.S. Virgin Islands (US),87146,0.001%,1 Apr 2020,2020 census result[219],
203,Isle of Man (UK),84975,0.001%,1 Apr 2025,Official estimate[220],
204,Dominica,71946,0.0009%,2018,UN estimate[221],
205,Guernsey (UK),64781,0.0008%,31 Dec 2023,National quarterly estimate[222],
206,Bermuda (UK),64055,0.0008%,1 Jul 2021,National annual projection[223],
207,Greenland (Denmark),56740,0.0007%,1 Jan 2026,National quarterly estimate[224],
208,South Ossetia,56520,0.0007%,31 Dec 2021,Official estimate[225],[ag]
209,Faroe Islands (Denmark),54981,0.0007%,1 Jan 2026,Monthly national estimate[226],
210,Saint Kitts and Nevis,51320,0.0006%,2022,2022 census result[227],
211,Turks and Caicos Islands (UK),50828,0.0006%,1 Jul 2024,Official estimate[228],
212,American Samoa (US),49710,0.0006%,1 Apr 2020,2020 census result[229],
213,Northern Mariana Islands (US),47329,0.0006%,1 Apr 2020,2020 census result[230],
214,Marshall Islands,42418,0.0005%,30 Sep 2021,2021 Census[231],
215,Sint Maarten (Netherlands),41349,0.0005%,1 Jan 2025,Official estimate[232],
216,Liechtenstein,41024,0.0005%,30 Jun 2024,National estimate[233],
217,British Virgin Islands (UK),39471,0.0005%,1 Jul 2024,UN projection[234],
218,Monaco,38423,0.0005%,31 Dec 2024,Census[235],
219,Gibraltar (UK),38196,0.0005%,14 Nov 2022,Preliminary census results[236],
220,San Marino,34172,0.0004%,31 Dec 2025,Monthly national estimate[237],
221,Saint Martin (France),31496,0.0004%,1 Jan 2025,Official estimate[238],
222,Palau,16733,0.0002%,1 Jul 2021,2021 Census[239],
223,Anguilla (UK),16010,0.0002%,31 Dec 2024,Official estimate[240],
224,Cook Islands (New Zealand),15040,0.0002%,1 Jul 2021,2021 Census[241],
225,Nauru,11680,0.0001%,30 Oct 2021,2021 Census[242],
226,Wallis and Futuna (France),11620,0.0001%,24 Jul 2023,2023 Census[243],
227,Tuvalu,10643,0.0001%,12 Dec 2022,2022 Census[244],
228,Saint Barthélemy (France),10562,0.0001%,1 Jan 2025,Official estimate[238],
229,Saint Pierre and Miquelon (France),5819,0%,1 Jan 2025,Official estimate[238],
230,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0%,1 Jul 2021,2021 Census[245][246][247],
231,Montserrat (UK),4386,0%,23 Sep 2023,2023 census result[248],
232,Falkland Islands (UK),3662,0%,10 Oct 2021,2021 census result[249],
233,Tokelau (New Zealand),2608,0%,1 Jan 2025,2025 Census[250],
234,Norfolk Island (Australia),2188,0%,1 Jan 2021,2021 Census[251],
235,Christmas Island (Australia),1692,0%,1 Jan 2021,2021 Census[252],
236,Niue (New Zealand),1681,0%,11 Nov 2022,2022 Census[253],
237,Vatican City,882,0%,31 Dec 2024,Official figure[254],[ah]
238,Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census[255],
239,Pitcairn Islands (UK),35,0%,1 Jul 2023,Official estimate[256],
